pair_id,class_u,class_v,superclass_u,superclass_v,same_superclass,d_perc,d_sem,quadrant
199,baby,bed,people,household_furniture,False,0.677312,0.619048,Q4
200,baby,bee,people,insects,False,0.704585,0.478261,Q1
201,baby,beetle,people,insects,False,0.748055,0.454545,Q3
202,baby,bicycle,people,vehicles_1,False,0.743428,0.6,Q3
203,baby,bottle,people,food_containers,False,0.768882,0.6,Q3
204,baby,bowl,people,food_containers,False,0.641554,0.6,Q1
205,baby,boy,people,people,True,0.161409,0.4,Q1
206,baby,bridge,people,large_man_made_outdoor_things,False,0.735839,0.555556,Q3
207,baby,bus,people,vehicles_1,False,0.709237,0.6,Q1
208,baby,butterfly,people,insects,False,0.757731,0.478261,Q3
209,baby,camel,people,large_omnivores_and_herbivores,False,0.703766,0.52,Q1
210,baby,can,people,food_containers,False,0.739086,0.578947,Q3
211,baby,castle,people,large_man_made_outdoor_things,False,0.711812,0.619048,Q2
212,baby,caterpillar,people,insects,False,0.758039,0.4,Q3
213,baby,cattle,people,large_omnivores_and_herbivores,False,0.719755,0.571429,Q3
214,baby,chair,people,household_furniture,False,0.780972,0.619048,Q2
215,baby,chimpanzee,people,large_omnivores_and_herbivores,False,0.62847,0.555556,Q1
216,baby,clock,people,household_electrical_devices,False,0.78652,0.636364,Q2
217,baby,cloud,people,large_natural_outdoor_scenes,False,0.692714,0.733333,Q4
218,baby,cockroach,people,insects,False,0.822432,0.478261,Q3
219,baby,couch,people,household_furniture,False,0.678077,0.619048,Q4
220,baby,crab,people,non_insect_invertebrates,False,0.676241,0.478261,Q1
221,baby,crocodile,people,reptiles,False,0.653697,0.5,Q1
222,baby,cup,people,food_containers,False,0.772668,0.578947,Q3
223,baby,dinosaur,people,reptiles,False,0.695545,0.5,Q1
224,baby,dolphin,people,aquatic_mammals,False,0.773282,0.555556,Q3
225,baby,elephant,people,large_omnivores_and_herbivores,False,0.751195,0.5,Q3
226,baby,flatfish,people,fish,False,0.562988,0.75,Q4
227,baby,forest,people,large_natural_outdoor_scenes,False,0.672687,0.857143,Q4
228,baby,fox,people,medium_mammals,False,0.742587,0.52,Q3
229,baby,girl,people,people,True,0.188769,0.428571,Q1
230,baby,hamster,people,small_mammals,False,0.646493,0.5,Q1
231,baby,house,people,large_man_made_outdoor_things,False,0.660929,0.578947,Q1
232,baby,kangaroo,people,large_omnivores_and_herbivores,False,0.736692,0.5,Q3
233,baby,keyboard,people,household_electrical_devices,False,0.759234,0.6,Q3
234,baby,lamp,people,household_electrical_devices,False,0.692816,0.6,Q1
235,baby,lawn_mower,people,vehicles_2,False,0.68062,0.619048,Q4
236,baby,leopard,people,large_carnivores,False,0.726169,0.777778,Q2
237,baby,lion,people,large_carnivores,False,0.753642,0.538462,Q3
238,baby,lizard,people,reptiles,False,0.61983,0.5,Q1
239,baby,lobster,people,non_insect_invertebrates,False,0.606562,0.75,Q4
240,baby,man,people,people,True,0.393362,0.4,Q1
241,baby,maple_tree,people,trees,False,0.674416,0.75,Q4
242,baby,motorcycle,people,vehicles_1,False,0.68354,0.636364,Q4
243,baby,mountain,people,large_natural_outdoor_scenes,False,0.758664,0.625,Q2
244,baby,mouse,people,small_mammals,False,0.641128,0.5,Q1
