sample_id,class_u,class_v,contrast1,contrast2,quadrant,d_perc,d_sem,learner,c1_accuracy,c1_ci_low,c1_ci_high,mean_margin
50,apple,cup,crocodile,keyboard,Q3,0.716807,0.578947,logreg,0.8896,0.8702,0.9098,0.6432
50,apple,cup,crocodile,keyboard,Q3,0.716807,0.578947,random,0.3371,0.3262,0.348,1.2075
51,aquarium_fish,elephant,cup,willow_tree,Q3,0.792498,0.25,centroid,0.8367,0.8264,0.8487,0.33
51,aquarium_fish,elephant,cup,willow_tree,Q3,0.792498,0.25,exemplar_knn_k3,0.84,0.8291,0.8524,1.2502
51,aquarium_fish,elephant,cup,willow_tree,Q3,0.792498,0.25,logreg,0.83,0.8198,0.8422,0.6814
51,aquarium_fish,elephant,cup,willow_tree,Q3,0.792498,0.25,random,0.3427,0.3313,0.3542,1.2181
52,bed,man,tiger,leopard,Q3,0.748537,0.578947,centroid,0.7589,0.7396,0.7767,0.1376
52,bed,man,tiger,leopard,Q3,0.748537,0.578947,exemplar_knn_k3,0.7309,0.7151,0.7456,0.8243
52,bed,man,tiger,leopard,Q3,0.748537,0.578947,logreg,0.8193,0.7938,0.8427,0.3378
52,bed,man,tiger,leopard,Q3,0.748537,0.578947,random,0.3313,0.3176,0.3456,1.2014
53,bee,elephant,tiger,oak_tree,Q3,0.727096,0.44,centroid,0.8182,0.8149,0.8218,0.3418
53,bee,elephant,tiger,oak_tree,Q3,0.727096,0.44,exemplar_knn_k3,0.8167,0.8111,0.822,1.3676
53,bee,elephant,tiger,oak_tree,Q3,0.727096,0.44,logreg,0.8502,0.84,0.8607,0.6872
53,bee,elephant,tiger,oak_tree,Q3,0.727096,0.44,random,0.3331,0.3189,0.3471,1.2003
54,bee,skyscraper,flatfish,lawn_mower,Q3,0.76619,0.6,centroid,0.8358,0.8267,0.846,0.2812
54,bee,skyscraper,flatfish,lawn_mower,Q3,0.76619,0.6,exemplar_knn_k3,0.824,0.8151,0.834,0.9806
54,bee,skyscraper,flatfish,lawn_mower,Q3,0.76619,0.6,logreg,0.8469,0.8315,0.8633,0.5442
54,bee,skyscraper,flatfish,lawn_mower,Q3,0.76619,0.6,random,0.3211,0.3084,0.334,1.2416
55,bottle,keyboard,tiger,snail,Q3,0.821888,0.333333,centroid,0.8662,0.8511,0.882,0.3011
55,bottle,keyboard,tiger,snail,Q3,0.821888,0.333333,exemplar_knn_k3,0.866,0.8529,0.8789,1.1251
55,bottle,keyboard,tiger,snail,Q3,0.821888,0.333333,logreg,0.8802,0.8582,0.9024,0.6216
55,bottle,keyboard,tiger,snail,Q3,0.821888,0.333333,random,0.3278,0.3144,0.3407,1.2121
56,boy,poppy,tank,porcupine,Q3,0.81003,0.428571,centroid,0.8296,0.8213,0.8382,0.2599
56,boy,poppy,tank,porcupine,Q3,0.81003,0.428571,exemplar_knn_k3,0.8191,0.8098,0.8284,1.015
56,boy,poppy,tank,porcupine,Q3,0.81003,0.428571,logreg,0.846,0.8331,0.8607,0.5385
56,boy,poppy,tank,porcupine,Q3,0.81003,0.428571,random,0.3378,0.3222,0.3542,1.2179
57,bridge,snake,cattle,cup,Q3,0.790226,0.578947,centroid,0.8569,0.8462,0.8678,0.2952
57,bridge,snake,cattle,cup,Q3,0.790226,0.578947,exemplar_knn_k3,0.8493,0.8382,0.8609,1.0532
57,bridge,snake,cattle,cup,Q3,0.790226,0.578947,logreg,0.8691,0.8513,0.8871,0.5913
57,bridge,snake,cattle,cup,Q3,0.790226,0.578947,random,0.3458,0.3342,0.3569,1.2284
58,chimpanzee,spider,otter,mouse,Q3,0.733792,0.481481,centroid,0.7347,0.7242,0.7444,0.1609
58,chimpanzee,spider,otter,mouse,Q3,0.733792,0.481481,exemplar_knn_k3,0.7131,0.6996,0.7258,0.7659
58,chimpanzee,spider,otter,mouse,Q3,0.733792,0.481481,logreg,0.7318,0.7236,0.7398,0.3592
58,chimpanzee,spider,otter,mouse,Q3,0.733792,0.481481,random,0.3316,0.3196,0.3442,1.2359
59,clock,tractor,pickup_truck,butterfly,Q3,0.800138,0.428571,centroid,0.826,0.8149,0.8389,0.2726
59,clock,tractor,pickup_truck,butterfly,Q3,0.800138,0.428571,exemplar_knn_k3,0.8316,0.816,0.8484,1.0136
59,clock,tractor,pickup_truck,butterfly,Q3,0.800138,0.428571,logreg,0.8169,0.8104,0.8244,0.5699
