sample_id,class_u,class_v,contrast1,contrast2,quadrant,d_perc,d_sem,learner,episode_id,c1,margin
2,bee,beetle,otter,tulip,Q1,0.398431,0.130435,centroid,0,0.9333,0.2404
2,bee,beetle,otter,tulip,Q1,0.398431,0.130435,exemplar_knn_k3,0,0.9,0.9034
2,bee,beetle,otter,tulip,Q1,0.398431,0.130435,logreg,0,0.94,0.4906
2,bee,beetle,otter,tulip,Q1,0.398431,0.130435,random,0,0.3267,1.2841
2,bee,beetle,otter,tulip,Q1,0.398431,0.130435,centroid,1,0.9,0.2401
2,bee,beetle,otter,tulip,Q1,0.398431,0.130435,exemplar_knn_k3,1,0.8533,0.9622
2,bee,beetle,otter,tulip,Q1,0.398431,0.130435,logreg,1,0.8933,0.4799
2,bee,beetle,otter,tulip,Q1,0.398431,0.130435,random,1,0.34,1.1375
2,bee,beetle,otter,tulip,Q1,0.398431,0.130435,centroid,2,0.9467,0.2164
2,bee,beetle,otter,tulip,Q1,0.398431,0.130435,exemplar_knn_k3,2,0.9333,0.735
2,bee,beetle,otter,tulip,Q1,0.398431,0.130435,logreg,2,0.9533,0.4276
2,bee,beetle,otter,tulip,Q1,0.398431,0.130435,random,2,0.3067,1.2487
2,bee,beetle,otter,tulip,Q1,0.398431,0.130435,centroid,3,0.8467,0.2255
2,bee,beetle,otter,tulip,Q1,0.398431,0.130435,exemplar_knn_k3,3,0.8733,0.8769
2,bee,beetle,otter,tulip,Q1,0.398431,0.130435,logreg,3,0.8333,0.5048
2,bee,beetle,otter,tulip,Q1,0.398431,0.130435,random,3,0.3533,1.1122
2,bee,beetle,otter,tulip,Q1,0.398431,0.130435,centroid,4,0.8533,0.2286
2,bee,beetle,otter,tulip,Q1,0.398431,0.130435,exemplar_knn_k3,4,0.8467,0.8409
2,bee,beetle,otter,tulip,Q1,0.398431,0.130435,logreg,4,0.86,0.4453
2,bee,beetle,otter,tulip,Q1,0.398431,0.130435,random,4,0.34,1.2059
2,bee,beetle,otter,tulip,Q1,0.398431,0.130435,centroid,5,0.8133,0.2479
2,bee,beetle,otter,tulip,Q1,0.398431,0.130435,exemplar_knn_k3,5,0.8067,0.8011
2,bee,beetle,otter,tulip,Q1,0.398431,0.130435,logreg,5,0.8133,0.4734
2,bee,beetle,otter,tulip,Q1,0.398431,0.130435,random,5,0.2933,1.1496
2,bee,beetle,otter,tulip,Q1,0.398431,0.130435,centroid,6,0.88,0.248
2,bee,beetle,otter,tulip,Q1,0.398431,0.130435,exemplar_knn_k3,6,0.8667,0.8876
2,bee,beetle,otter,tulip,Q1,0.398431,0.130435,logreg,6,0.8333,0.5148
2,bee,beetle,otter,tulip,Q1,0.398431,0.130435,random,6,0.2667,1.2542
2,bee,beetle,otter,tulip,Q1,0.398431,0.130435,centroid,7,0.84,0.2548
2,bee,beetle,otter,tulip,Q1,0.398431,0.130435,exemplar_knn_k3,7,0.8333,0.9437
2,bee,beetle,otter,tulip,Q1,0.398431,0.130435,logreg,7,0.8467,0.4979
2,bee,beetle,otter,tulip,Q1,0.398431,0.130435,random,7,0.2867,1.2489
