tier,learner,ways,shots,pool_type,n_episodes,chance,c1_mean,c1_ci_low,c1_ci_high,c2_mean,c2_ci_low,c2_ci_high,margin_mean,margin_ci_low,margin_ci_high
mid,exemplar_knn_k1,3,20,medium,30,0.3333,0.5949,0.5767,0.6125,0.4667,0.4472,0.4856,0.3789,0.3741,0.3835
mid,exemplar_knn_k1,3,20,oov_25,30,0.3333,0.5949,0.5767,0.6125,0.4267,0.4028,0.45,0.3789,0.3741,0.3835
mid,exemplar_knn_k1,3,20,oov_50,30,0.3333,0.5949,0.5767,0.6125,0.3794,0.3594,0.3983,0.3789,0.3741,0.3835
mid,exemplar_knn_k1,3,20,small,30,0.3333,0.5949,0.5767,0.6125,0.5433,0.5183,0.5678,0.3789,0.3741,0.3835
mid,exemplar_knn_k1,3,3,hard,30,0.3333,0.6524,0.6282,0.6738,0.2833,0.2439,0.32,0.3213,0.3137,0.3297
mid,exemplar_knn_k1,3,3,large,30,0.3333,0.6524,0.6282,0.6738,0.4189,0.3789,0.4572,0.3213,0.3137,0.3297
mid,exemplar_knn_k1,3,3,medium,30,0.3333,0.6524,0.6282,0.6738,0.5083,0.4694,0.5461,0.3213,0.3137,0.3297
mid,exemplar_knn_k1,3,3,oov_25,30,0.3333,0.6524,0.6282,0.6738,0.4778,0.4416,0.5117,0.3213,0.3137,0.3297
mid,exemplar_knn_k1,3,3,oov_50,30,0.3333,0.6524,0.6282,0.6738,0.4472,0.4089,0.4806,0.3213,0.3137,0.3297
mid,exemplar_knn_k1,3,3,small,30,0.3333,0.6524,0.6282,0.6738,0.5967,0.5656,0.6272,0.3213,0.3137,0.3297
mid,exemplar_knn_k1,3,5,hard,30,0.3333,0.6502,0.6318,0.6682,0.2889,0.2528,0.3289,0.3498,0.3436,0.3565
mid,exemplar_knn_k1,3,5,large,30,0.3333,0.6502,0.6318,0.6682,0.4439,0.4117,0.4794,0.3498,0.3436,0.3565
mid,exemplar_knn_k1,3,5,medium,30,0.3333,0.6502,0.6318,0.6682,0.5189,0.4916,0.5506,0.3498,0.3436,0.3565
mid,exemplar_knn_k1,3,5,oov_25,30,0.3333,0.6502,0.6318,0.6682,0.4817,0.4461,0.5172,0.3498,0.3436,0.3565
mid,exemplar_knn_k1,3,5,oov_50,30,0.3333,0.6502,0.6318,0.6682,0.435,0.4083,0.465,0.3498,0.3436,0.3565
mid,exemplar_knn_k1,3,5,small,30,0.3333,0.6502,0.6318,0.6682,0.5983,0.5706,0.6283,0.3498,0.3436,0.3565
mid,exemplar_knn_k3,3,1,hard,30,0.3333,0.6031,0.5807,0.6267,0.2428,0.2117,0.2717,0.1226,0.1153,0.1296
mid,exemplar_knn_k3,3,1,large,30,0.3333,0.6031,0.5807,0.6267,0.3467,0.3155,0.3794,0.1226,0.1153,0.1296
mid,exemplar_knn_k3,3,1,medium,30,0.3333,0.6031,0.5807,0.6267,0.4278,0.3944,0.4611,0.1226,0.1153,0.1296
mid,exemplar_knn_k3,3,1,oov_25,30,0.3333,0.6031,0.5807,0.6267,0.4261,0.3972,0.4572,0.1226,0.1153,0.1296
mid,exemplar_knn_k3,3,1,oov_50,30,0.3333,0.6031,0.5807,0.6267,0.4089,0.3744,0.4417,0.1226,0.1153,0.1296
mid,exemplar_knn_k3,3,1,small,30,0.3333,0.6031,0.5807,0.6267,0.5228,0.4939,0.555,0.1226,0.1153,0.1296
mid,exemplar_knn_k3,3,10,hard,30,0.3333,0.6478,0.6349,0.6611,0.3211,0.2895,0.3517,0.7271,0.7056,0.7493
mid,exemplar_knn_k3,3,10,large,30,0.3333,0.6478,0.6349,0.6611,0.4822,0.4517,0.5094,0.7271,0.7056,0.7493
mid,exemplar_knn_k3,3,10,medium,30,0.3333,0.6478,0.6349,0.6611,0.5567,0.5328,0.5811,0.7271,0.7056,0.7493
mid,exemplar_knn_k3,3,10,oov_25,30,0.3333,0.6478,0.6349,0.6611,0.4822,0.4495,0.5133,0.7271,0.7056,0.7493
mid,exemplar_knn_k3,3,10,oov_50,30,0.3333,0.6478,0.6349,0.6611,0.4472,0.4189,0.4728,0.7271,0.7056,0.7493
mid,exemplar_knn_k3,3,10,small,30,0.3333,0.6478,0.6349,0.6611,0.6372,0.6139,0.6589,0.7271,0.7056,0.7493
mid,exemplar_knn_k3,3,20,hard,30,0.3333,0.5984,0.5831,0.614,0.2794,0.2533,0.3056,0.7864,0.7617,0.8123
